Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp	Regulation
B3GNT8	ENSG00000177191.2	4	1.11	1.245	9.63E-11	UP
BEX1	ENSG00000133169.5	85.882	6.875	3.464	1.14E-05	UP
BIRC5	ENSG00000089685.14	4.48	0.845	1.571	5.55E-07	UP
BIRC7	ENSG00000101197.12	14.61	0.22	3.678	7.53E-15	UP
BLOC1S1	ENSG00000135441.7	334.693	146.997	1.182	3.06E-15	UP
BLVRB	ENSG00000090013.9	134.848	66.445	1.01	1.22E-05	UP
BOLA2	ENSG00000183336.7	12.69	5.545	1.065	3.00E-06	UP
BOLA2B	ENSG00000169627.7	129.579	41.8	1.609	1.66E-15	UP
BRIX1	ENSG00000113460.12	28.919	13.77	1.018	1.36E-04	UP
BSG	ENSG00000172270.18	1108.735	513.492	1.109	1.46E-07	UP
BTBD11	ENSG00000151136.14	1.94	0.3	1.177	2.84E-10	UP
BUB1	ENSG00000169679.14	2.23	0.38	1.227	2.58E-10	UP
C10orf35	ENSG00000171224.8	9.49	2.65	1.523	2.83E-08	UP
C10orf82	ENSG00000165863.16	16.13	2.145	2.445	1.28E-04	UP
C12orf45	ENSG00000151131.9	23.051	9.72	1.166	5.07E-12	UP
C12orf75	ENSG00000235162.8	15.96	5.22	1.447	1.02E-10	UP
C19orf48	ENSG00000167747.13	139.4	21.76	2.625	1.32E-16	UP
C19orf53	ENSG00000104979.8	286.243	107.325	1.407	3.21E-15	UP
C1orf115	ENSG00000162817.6	9.05	3.715	1.092	5.46E-06	UP
C7orf50	ENSG00000146540.14	69.521	30.375	1.168	7.67E-10	UP
CA9	ENSG00000107159.12	2.32	0.42	1.225	2.14E-05	UP
CALB1	ENSG00000104327.7	6.72	0.455	2.408	2.40E-10	UP
CAV1	ENSG00000105974.11	10.09	4.515	1.008	6.98E-07	UP
CCDC64	ENSG00000135127.11	3.72	1.28	1.05	3.41E-03	UP
CCNA2	ENSG00000145386.9	4.16	1.25	1.197	1.10E-06	UP
CCNB1	ENSG00000134057.14	27.72	4.92	2.278	1.79E-15	UP
CCNB2	ENSG00000157456.7	4.83	0.76	1.728	2.96E-10	UP
CCNE1	ENSG00000105173.13	17.44	5.825	1.434	2.07E-09	UP
CCNG1	ENSG00000113328.18	106.557	50.355	1.067	2.41E-09	UP
CCNO	ENSG00000152669.8	2.08	0.53	1.009	1.11E-06	UP
CD320	ENSG00000167775.10	79.671	37.255	1.076	3.63E-09	UP
CD36	ENSG00000135218.17	35.16	9.975	1.72	2.86E-07	UP
CD63	ENSG00000135404.11	2016.446	870.257	1.211	2.75E-09	UP
CD82	ENSG00000085117.11	20.069	9.36	1.024	3.29E-03	UP
CDC20	ENSG00000117399.13	4.94	1.34	1.344	7.26E-08	UP
CDC25C	ENSG00000158402.18	2.13	0.195	1.389	5.40E-15	UP
CDC34	ENSG00000099804.8	70.282	33.865	1.032	1.27E-07	UP
CDC42SE2	ENSG00000158985.13	14.98	6.425	1.106	3.99E-14	UP
CDCA3	ENSG00000111665.11	7.78	3.195	1.066	1.17E-05	UP
CDCA4	ENSG00000170779.10	6.84	2.055	1.36	9.65E-17	UP
CDH13	ENSG00000140945.15	5.41	1.23	1.523	1.08E-13	UP
CDK1	ENSG00000170312.15	11.69	1.53	2.327	1.82E-14	UP
CDKN2A	ENSG00000147889.16	22.461	7.555	1.455	4.39E-07	UP
CDKN2D	ENSG00000129355.6	30.12	7.685	1.841	7.22E-18	UP
CDKN3	ENSG00000100526.19	9.5	1.445	2.103	1.77E-13	UP
CDT1	ENSG00000167513.8	5.47	0.75	1.886	1.29E-14	UP
CENPF	ENSG00000117724.12	7.47	1.935	1.529	5.97E-07	UP
CENPH	ENSG00000153044.9	6.28	1.595	1.488	2.03E-23	UP
CENPK	ENSG00000123219.12	3.84	0.63	1.57	1.50E-13	UP
CENPM	ENSG00000100162.14	5.61	1.26	1.548	1.24E-08	UP
CENPN	ENSG00000166451.13	7.98	3.09	1.135	4.02E-06	UP
CENPU	ENSG00000151725.11	7.65	1.64	1.712	2.61E-13	UP
CENPW	ENSG00000203760.8	10.88	3.245	1.485	4.09E-13	UP
CEP55	ENSG00000138180.15	2.54	0.525	1.215	1.78E-09	UP
CERS1	ENSG00000223802.7	2.4	0.33	1.354	1.39E-08	UP
CH507-513H4.5	ENSG00000281383.1	3.97	0.425	1.802	1.85E-33	UP
CHPF	ENSG00000123989.13	75.112	33.38	1.147	2.77E-05	UP
CKS1BP3	ENSG00000268942.2	2.49	0	1.803	2.11E-13	UP
CKS2	ENSG00000123975.4	125.713	39.565	1.643	2.30E-08	UP
CLCN4	ENSG00000073464.11	3.42	0.965	1.17	8.25E-16	UP
CLGN	ENSG00000153132.12	2.46	0.52	1.187	8.97E-06	UP
CMC2	ENSG00000103121.8	95.009	41.43	1.178	2.78E-07	UP
CNFN	ENSG00000105427.9	15.44	4.135	1.679	1.25E-15	UP
COX4I1	ENSG00000131143.8	802.022	346.7	1.208	9.48E-13	UP
COX4I2	ENSG00000131055.4	3.63	0.43	1.695	3.48E-28	UP
COX6A1	ENSG00000111775.2	813.782	329.377	1.302	1.30E-11	UP
COX6B1	ENSG00000126267.8	415.325	166.386	1.315	2.71E-16	UP
COX7A1	ENSG00000161281.10	255.273	76.497	1.725	1.67E-08	UP
COX7A2	ENSG00000112695.11	420.073	176.386	1.247	2.42E-08	UP
COX7B	ENSG00000131174.4	190.651	73.572	1.362	1.01E-15	UP
COX7C	ENSG00000127184.10	1262.09	486.214	1.374	2.89E-12	UP
CRABP2	ENSG00000143320.8	13.56	4.585	1.382	7.93E-08	UP
CRNDE	ENSG00000245694.8	6.97	2.305	1.27	1.49E-07	UP
CSRP2	ENSG00000175183.9	11.99	4.9	1.139	1.90E-07	UP
CTA-363E6.7	ENSG00000260934.1	1.39	0	1.257	4.62E-06	UP
CTB-191K22.5	ENSG00000267815.1	2.33	0.155	1.528	2.11E-12	UP
CTB-31O20.3	ENSG00000267007.1	26.48	5.34	2.116	4.96E-05	UP
CTB-43P18.1	ENSG00000272742.1	18.97	2.005	2.732	3.53E-29	UP
CTB-63M22.1	ENSG00000229119.3	547.531	17.294	4.906	3.81E-44	UP
CTC-425F1.4	ENSG00000267458.1	44.261	1.59	4.127	1.34E-21	UP
CTC-518P12.6	ENSG00000267484.1	9.72	0.255	3.095	5.82E-31	UP
CTD-2124B8.2	ENSG00000270558.1	3.92	1.25	1.129	1.34E-18	UP
CTD-2287O16.1	ENSG00000185641.6	81.712	29.535	1.438	5.40E-14	UP
CTD-2369P2.12	ENSG00000267303.1	19.35	4.65	1.849	8.06E-10	UP
CTD-2510F5.6	ENSG00000265303.1	2.51	0	1.811	1.14E-06	UP
CTD-2540B15.11	ENSG00000267580.1	5.88	1.63	1.387	6.13E-12	UP
CTD-2540B15.13	ENSG00000273420.1	51.228	25.095	1.001	5.38E-04	UP
CTD-3088G3.8	ENSG00000188897.8	2.7	0.36	1.444	1.06E-09	UP
CTNNBL1	ENSG00000132792.18	39.36	17.7	1.11	9.18E-19	UP
CTSV	ENSG00000136943.10	1.84	0.185	1.261	2.41E-12	UP
DBP	ENSG00000105516.10	110.852	39.155	1.478	1.80E-11	UP
DDIT3	ENSG00000175197.10	100.37	35.131	1.488	2.48E-04	UP
DDIT4L	ENSG00000145358.6	3.44	0.42	1.645	4.36E-11	UP
DEPDC1B	ENSG00000035499.12	2.22	0.19	1.436	2.00E-18	UP
DFNA5	ENSG00000105928.13	14.87	3.53	1.809	1.27E-09	UP
DHRS2	ENSG00000100867.14	4.33	0.51	1.82	1.54E-06	UP
DLL4	ENSG00000128917.6	5.62	1.225	1.573	1.98E-15	UP
DLX5	ENSG00000105880.4	3	0.13	1.824	2.11E-19	UP
DNAJC1	ENSG00000136770.10	33.139	15.135	1.081	2.50E-11	UP
DNAJC19P9	ENSG00000258608.1	3.14	0.66	1.318	2.86E-19	UP
DNAJC9-AS1	ENSG00000236756.4	3.33	0.36	1.671	9.98E-07	UP
DTL	ENSG00000143476.17	1.66	0.315	1.016	2.25E-09	UP
DUSP15	ENSG00000149599.15	14.2	5.33	1.264	1.10E-07	UP
DUSP2	ENSG00000158050.4	4	1.02	1.308	6.98E-05	UP
DYNLL1	ENSG00000088986.10	534.075	218.789	1.284	7.59E-08	UP
E2F1	ENSG00000101412.12	11.29	4.025	1.29	3.86E-09	UP
EDA	ENSG00000158813.17	18.75	6.405	1.415	1.70E-13	UP
EEF1A1P19	ENSG00000249855.1	1.78	0.325	1.069	4.81E-25	UP
EEF1A1P6	ENSG00000233476.3	22.33	7.95	1.382	4.81E-11	UP
EEF1A1P9	ENSG00000249264.1	1.65	0.185	1.161	9.52E-30	UP
EFNA3	ENSG00000143590.13	9.2	1.8	1.865	3.08E-12	UP
EGLN3	ENSG00000129521.13	2.5	0.51	1.213	3.05E-08	UP
EIF3C	ENSG00000184110.14	393.657	181.861	1.11	3.38E-06	UP
EIF5AP4	ENSG00000234743.1	4.9	0.185	2.316	1.24E-43	UP
ELOVL4	ENSG00000118402.5	1.6	0.22	1.092	4.55E-09	UP
ENC1	ENSG00000171617.13	8.96	1.575	1.952	5.34E-12	UP
HOXA11	ENSG00000005073.5	2.29	0.475	1.157	3.54E-07	UP
TMEM132A	ENSG00000006118.14	66.842	13.45	2.231	1.19E-17	UP
TNFRSF12A	ENSG00000006327.13	122.802	27.46	2.121	3.20E-07	UP
SYT7	ENSG00000011347.9	2.46	0.365	1.342	4.13E-05	UP
TOMM34	ENSG00000025772.7	72.509	34.495	1.05	3.13E-05	UP
KCNG1	ENSG00000026559.13	1.57	0.08	1.251	5.03E-06	UP
HMGB3	ENSG00000029993.14	31.219	11.375	1.38	6.01E-14	UP
THOC3	ENSG00000051596.9	57.859	13.35	2.036	1.07E-20	UP
MSMO1	ENSG00000052802.12	213.027	45.825	2.192	4.29E-03	UP
PHPT1	ENSG00000054148.17	250.244	122.81	1.021	6.60E-08	UP
KCNH2	ENSG00000055118.14	12.88	2.02	2.2	2.69E-09	UP
ISOC2	ENSG00000063241.7	109.47	46.92	1.205	3.09E-11	UP
RFXANK	ENSG00000064490.13	74.821	35.341	1.061	1.15E-08	UP
NUCB2	ENSG00000070081.15	93.169	42.939	1.1	1.78E-06	UP
WBSCR22	ENSG00000071462.11	105.047	50.345	1.046	4.38E-12	UP
PRKACA	ENSG00000072062.13	223.231	109.656	1.019	1.19E-04	UP
HMMR	ENSG00000072571.19	2.25	0.525	1.092	5.34E-09	UP
P4HA2	ENSG00000072682.18	24.75	7.92	1.529	5.77E-08	UP
PPP2R2C	ENSG00000074211.13	2.38	0.185	1.512	1.81E-07	UP
FSCN1	ENSG00000075618.17	109.728	36.206	1.573	1.59E-03	UP
NMRK2	ENSG00000077009.13	2.39	0.59	1.092	7.69E-04	UP
UBE2T	ENSG00000077152.9	13.64	3.605	1.669	2.08E-11	UP
FGFR1	ENSG00000077782.19	27.98	12.975	1.052	6.70E-04	UP
OSBPL6	ENSG00000079156.16	2.09	0.2	1.365	2.04E-13	UP
KIF22	ENSG00000079616.12	38.18	16.515	1.162	1.34E-16	UP
NDC80	ENSG00000080986.12	2.27	0.47	1.153	1.60E-10	UP
MRPL22	ENSG00000082515.16	83.94	41.106	1.012	4.20E-13	UP
FAT1	ENSG00000083857.13	9.39	2.025	1.78	1.74E-10	UP
FOLH1	ENSG00000086205.16	2.82	0.28	1.577	6.13E-15	UP
MT3	ENSG00000087250.8	614.981	44.985	3.744	5.07E-07	UP
ERGIC2	ENSG00000087502.17	57.899	21.905	1.363	1.28E-09	UP
TPX2	ENSG00000088325.15	8.39	1.065	2.185	5.15E-18	UP
PDRG1	ENSG00000088356.5	23.65	9.99	1.165	1.83E-12	UP
NDUFB2	ENSG00000090266.12	396.395	189.485	1.061	1.25E-04	UP
KIF4A	ENSG00000090889.11	1.51	0.21	1.053	3.39E-11	UP
NAT14	ENSG00000090971.4	26.279	12.545	1.01	1.51E-05	UP
ORC6	ENSG00000091651.8	5.59	1.3	1.519	1.66E-13	UP
NANS	ENSG00000095380.10	67.7	20.695	1.663	5.84E-10	UP
H2AFY2	ENSG00000099284.13	9.18	1.385	2.094	2.86E-19	UP
TECR	ENSG00000099797.11	343.031	159.918	1.096	6.86E-11	UP
HCN2	ENSG00000099822.2	8.45	2.715	1.347	1.38E-05	UP
IGF2-AS	ENSG00000099869.7	7.27	0.27	2.703	1.92E-18	UP
MMP11	ENSG00000099953.9	3.69	1.125	1.142	3.00E-07	UP
PVALB	ENSG00000100362.12	2.9	0.405	1.473	1.40E-12	UP
NKAIN4	ENSG00000101198.14	1.4	0.08	1.152	4.00E-09	UP
FAM83D	ENSG00000101447.13	2.3	0.33	1.311	4.85E-09	UP
SYP	ENSG00000102003.10	44.12	7.525	2.404	1.38E-06	UP
SMS	ENSG00000102172.15	147.155	72.148	1.018	4.71E-07	UP
MAGED2	ENSG00000102316.16	243.469	94.999	1.349	1.82E-13	UP
PLLP	ENSG00000102934.9	4.98	1.775	1.108	8.23E-10	UP
MMP15	ENSG00000102996.4	7.42	3.18	1.01	1.39E-07	UP
TCEB2	ENSG00000103363.14	522.83	231.263	1.173	5.19E-11	UP
NOMO1	ENSG00000103512.14	51.631	24.41	1.051	5.19E-08	UP
SQLE	ENSG00000104549.11	72.378	13.745	2.315	4.29E-04	UP
RNASEH2A	ENSG00000104889.4	26.521	6.045	1.966	6.37E-22	UP
MYH14	ENSG00000105357.15	3	0.83	1.128	1.40E-06	UP
LIG1	ENSG00000105486.13	21.421	9.375	1.112	1.15E-09	UP
RAB3A	ENSG00000105649.9	19.39	6.245	1.493	1.20E-05	UP
HOXA13	ENSG00000106031.7	3.06	0.13	1.845	4.35E-19	UP
NPTX2	ENSG00000106236.3	450.879	24.13	4.168	1.38E-15	UP
NUDT1	ENSG00000106268.15	21.63	7.155	1.472	1.15E-19	UP
PLOD3	ENSG00000106397.11	64.48	26.21	1.267	1.61E-11	UP
ZNHIT1	ENSG00000106400.11	108.631	46.946	1.193	3.77E-14	UP
UBE2S	ENSG00000108106.13	50.569	12.145	1.972	1.52E-11	UP
NCAPG	ENSG00000109805.9	2.65	0.465	1.317	4.43E-12	UP
GALNT18	ENSG00000110328.5	5.3	2.15	1	1.67E-05	UP
VWF	ENSG00000110799.13	39.5	6.325	2.467	7.87E-22	UP
MVK	ENSG00000110921.11	53.69	17.65	1.552	4.05E-03	UP
MAGOHB	ENSG00000111196.9	26.99	10.565	1.275	6.69E-12	UP
FOXM1	ENSG00000111206.12	7.18	1.46	1.733	1.45E-10	UP
MRPL51	ENSG00000111639.7	218.698	104.477	1.059	9.76E-07	UP
GAPDH	ENSG00000111640.14	4451.882	1499.69	1.569	5.13E-08	UP
GMNN	ENSG00000112312.9	17.16	6.465	1.283	1.40E-06	UP
KIF20A	ENSG00000112984.11	2.81	0.65	1.207	4.66E-08	UP
SPARC	ENSG00000113140.10	2096.256	692.777	1.596	1.23E-05	UP
PCDHB5	ENSG00000113209.8	5.67	1.385	1.484	1.99E-12	UP
PDE8B	ENSG00000113231.13	6.32	1.33	1.652	9.08E-10	UP
THBS4	ENSG00000113296.14	5.37	1.32	1.457	1.87E-14	UP
LMNB1	ENSG00000113368.11	4.69	1.775	1.036	3.98E-07	UP
PFKFB4	ENSG00000114268.11	5.19	1.69	1.202	6.33E-05	UP
KCNIP3	ENSG00000115041.12	5.96	1.135	1.705	7.91E-18	UP
NDUFS7	ENSG00000115286.19	213.308	103.181	1.041	8.68E-11	UP
SDC1	ENSG00000115884.10	39.56	12.794	1.556	2.82E-03	UP
STMN1	ENSG00000117632.20	80.42	20.369	1.93	6.52E-13	UP
NEK2	ENSG00000117650.12	2.16	0.38	1.195	5.26E-07	UP
TMPO	ENSG00000120802.13	32.88	9.24	1.726	7.51E-16	UP
MND1	ENSG00000121211.7	7.23	0.395	2.561	4.29E-26	UP
FABP3	ENSG00000121769.7	119.064	51.117	1.204	2.41E-03	UP
LRIF1	ENSG00000121931.15	13.44	4.92	1.286	3.60E-12	UP
TWIST1	ENSG00000122691.12	21.251	3.985	2.158	6.54E-19	UP
ZWINT	ENSG00000122952.16	12.78	3.455	1.629	5.18E-10	UP
SLC12A5	ENSG00000124140.12	49.731	18.285	1.395	7.84E-07	UP
PPDPF	ENSG00000125534.9	251.026	71.406	1.799	4.01E-12	UP
TNFSF9	ENSG00000125657.4	2.13	0.415	1.145	3.01E-12	UP
SNRPB	ENSG00000125835.17	196.869	85.203	1.199	1.99E-11	UP
ROMO1	ENSG00000125995.15	343.436	146.002	1.228	7.08E-13	UP
TIMM17B	ENSG00000126768.12	80.822	39.16	1.027	3.84E-12	UP
PKMYT1	ENSG00000127564.16	14.4	1.55	2.594	6.35E-27	UP
FBXL16	ENSG00000127585.11	5.79	1.44	1.477	6.79E-03	UP
LRFN1	ENSG00000128011.4	1.98	0.34	1.153	8.88E-16	UP
LSM8	ENSG00000128534.7	37.621	15.27	1.247	2.91E-14	UP
VGF	ENSG00000128564.6	1.86	0.16	1.302	1.76E-04	UP
HOXD10	ENSG00000128710.5	1.56	0.06	1.272	4.96E-20	UP
LSM7	ENSG00000130332.14	108.759	49.254	1.127	8.28E-09	UP
GDF15	ENSG00000130513.6	10.18	4.51	1.021	9.48E-03	UP
TNNI2	ENSG00000130598.15	4.1	1.445	1.061	4.39E-07	UP
ULBP2	ENSG00000131015.4	4.02	0.44	1.802	3.11E-13	UP
HIGD1B	ENSG00000131097.6	3.28	0.29	1.73	3.40E-25	UP
GINS2	ENSG00000131153.8	3.39	0.77	1.31	6.01E-15	UP
PRR7	ENSG00000131188.11	6.99	2.96	1.013	2.63E-03	UP
IDO1	ENSG00000131203.12	3.95	0.26	1.974	2.41E-23	UP
TOP2A	ENSG00000131747.14	7.55	1.155	1.988	2.69E-12	UP
SNAP25	ENSG00000132639.12	7.2	3.03	1.025	5.78E-03	UP
MRPS36	ENSG00000134056.11	56.948	21.455	1.368	2.64E-14	UP
RNFT2	ENSG00000135119.14	6.41	1.95	1.329	1.18E-12	UP
TROAP	ENSG00000135451.12	6.36	1.1	1.809	2.09E-10	UP
MDM2	ENSG00000135679.21	65.739	30.55	1.081	1.50E-07	UP
KCNK1	ENSG00000135750.14	6.48	1.705	1.467	1.72E-05	UP
SERPINE2	ENSG00000135919.12	22.88	9.36	1.205	7.45E-06	UP
GGH	ENSG00000137563.11	22.86	5.695	1.833	8.80E-21	UP
KIF11	ENSG00000138160.5	2.73	0.66	1.168	1.18E-11	UP
SEMA7A	ENSG00000138623.9	10.18	2.35	1.739	1.58E-07	UP
SLC39A8	ENSG00000138821.12	7.13	2.46	1.232	4.94E-12	UP
RGS3	ENSG00000138835.22	59.54	27.495	1.087	7.96E-10	UP
YARS2	ENSG00000139131.12	20.49	9.465	1.038	5.90E-14	UP
SNRPF	ENSG00000139343.10	37.19	17.2	1.069	3.87E-12	UP
GAS2L3	ENSG00000139354.10	3.33	0.72	1.332	6.30E-17	UP
FAM222A	ENSG00000139438.5	33.43	10.244	1.614	1.00E-03	UP
PMAIP1	ENSG00000141682.11	1.83	0.185	1.256	8.14E-12	UP
SLC39A3	ENSG00000141873.10	49.511	23.28	1.057	2.39E-07	UP
FAM71E1	ENSG00000142530.10	3.5	0.955	1.203	1.10E-16	UP
NUF2	ENSG00000143228.12	2.51	0.585	1.147	1.46E-10	UP
ETNK2	ENSG00000143845.14	18.39	4.365	1.854	1.67E-10	UP
OCIAD2	ENSG00000145247.11	56.211	27.469	1.007	1.46E-09	UP
MYO10	ENSG00000145555.14	6.69	1.9	1.407	1.18E-06	UP
RPL37	ENSG00000145592.13	1958.046	903.167	1.115	2.01E-07	UP
SSBP2	ENSG00000145687.15	22.899	10.09	1.108	1.01E-06	UP
IQGAP2	ENSG00000145703.15	38.481	14.498	1.349	3.44E-08	UP
HIGD2A	ENSG00000146066.2	303.467	136.163	1.15	6.68E-14	UP
IGFBP3	ENSG00000146674.14	66.948	4.915	3.522	6.14E-34	UP
FATE1	ENSG00000147378.11	2.55	0.15	1.626	1.22E-10	UP
FAM171A1	ENSG00000148468.16	9.89	3.605	1.242	2.46E-09	UP
FEZ1	ENSG00000149557.12	17.47	5.465	1.514	2.58E-04	UP
UBC	ENSG00000150991.14	1224.518	579.433	1.078	1.26E-03	UP
HSPB8	ENSG00000152137.6	84.788	8.614	3.158	1.28E-11	UP
RAB3C	ENSG00000152932.7	2.91	0.935	1.015	2.72E-03	UP
SREK1IP1	ENSG00000153006.14	13.86	5.205	1.26	5.30E-15	UP
TSPAN7	ENSG00000156298.12	126.956	59.104	1.09	1.33E-03	UP
KIT	ENSG00000157404.15	1.51	0.24	1.017	4.05E-11	UP
PSMG3	ENSG00000157778.8	48.02	21.69	1.111	7.48E-10	UP
TMSB15B	ENSG00000158427.14	3.39	0.55	1.502	3.19E-15	UP
STC1	ENSG00000159167.11	6.46	0.48	2.334	5.41E-18	UP
PTMS	ENSG00000159335.15	401.372	192.517	1.056	3.71E-06	UP
HK2	ENSG00000159399.9	5.76	1.729	1.308	4.72E-04	UP
TPPP3	ENSG00000159713.10	7.35	1.65	1.656	2.18E-06	UP
LY6E	ENSG00000160932.10	528.55	174.428	1.594	1.71E-06	UP
RECQL4	ENSG00000160957.12	5.77	2.38	1.002	4.27E-07	UP
RACGAP1	ENSG00000161800.12	7.16	2.2	1.351	2.18E-10	UP
PAQR4	ENSG00000162073.13	25.849	6.555	1.829	1.16E-13	UP
FLYWCH2	ENSG00000162076.12	119.651	33.61	1.802	6.56E-16	UP
ZG16B	ENSG00000162078.11	9.93	0.625	2.75	6.60E-11	UP
RBP7	ENSG00000162444.11	32.459	9.233	1.709	1.28E-18	UP
FAM19A4	ENSG00000163377.14	11.97	3.395	1.561	6.59E-05	UP
SERPINI1	ENSG00000163536.12	7.45	3.205	1.007	1.07E-06	UP
PCOLCE2	ENSG00000163710.7	9.3	2.385	1.605	1.08E-07	UP
RPL39L	ENSG00000163923.9	7.97	2.455	1.376	3.15E-07	UP
H2AFZ	ENSG00000164032.11	220.708	80.934	1.436	7.66E-09	UP
HMGB2	ENSG00000164104.11	57.42	22.715	1.301	1.98E-10	UP
MAD2L1	ENSG00000164109.13	11.14	2.18	1.933	1.82E-14	UP
HPGD	ENSG00000164120.13	10.06	2.84	1.526	7.14E-03	UP
NDUFS4	ENSG00000164258.11	138.217	68.18	1.009	8.30E-07	UP
ESM1	ENSG00000164283.12	12.3	0.49	3.158	1.64E-30	UP
GPX8	ENSG00000164294.13	36.181	6.99	2.218	1.15E-23	UP
UQCRQ	ENSG00000164405.10	713.316	321.761	1.146	3.81E-06	UP
PTTG1	ENSG00000164611.12	31.33	3.085	2.984	5.88E-19	UP
TMEM184A	ENSG00000164855.15	2.61	0.33	1.441	1.69E-11	UP
ZNF367	ENSG00000165244.6	2.45	0.4	1.301	4.19E-12	UP
MELK	ENSG00000165304.7	2.26	0.395	1.225	4.06E-11	UP
TMEM63C	ENSG00000165548.10	6.78	2.45	1.173	7.81E-04	UP
FAAH2	ENSG00000165591.6	6.73	1.385	1.697	6.63E-11	UP
IKBIP	ENSG00000166130.14	14.34	5.215	1.303	8.93E-18	UP
TMEM100	ENSG00000166292.11	4.74	1.71	1.083	3.84E-07	UP
KIAA0101	ENSG00000166803.10	12.11	1.675	2.293	4.17E-14	UP
IGF2	ENSG00000167244.17	2348.949	19.734	6.824	6.90E-25	UP
SERTAD3	ENSG00000167565.12	28.381	12.19	1.155	3.23E-17	UP
KLK4	ENSG00000167749.11	7.91	1.545	1.808	9.51E-09	UP
TK1	ENSG00000167900.11	6.39	2.15	1.23	1.13E-07	UP
PBK	ENSG00000168078.9	5.65	0.325	2.327	6.89E-13	UP
TMEM208	ENSG00000168701.18	149.789	70.609	1.074	1.98E-05	UP
GPRIN1	ENSG00000169258.6	2.41	0.44	1.244	3.00E-07	UP
FAM103A1	ENSG00000169612.3	24.49	11.04	1.082	1.35E-09	UP
ZNF768	ENSG00000169957.9	38.869	17.95	1.073	1.01E-12	UP
